,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
5229,terrorism,5,126,0.00,0.03,31.07,0.00000,2.70,x<y
5140,syria,3,107,0.00,0.02,30.97,0.00000,3.20,x<y
5759,winning,7,142,0.01,0.03,30.73,0.00000,2.38,x<y
2221,future,107,209,0.09,0.05,30.72,0.00000,0.99,x>y
2696,increase,5,125,0.00,0.03,30.69,0.00000,2.68,x<y
10221,wikileaks,0,67,0.00,0.02,30.66,0.00000,5.11,x<y
9053,regulation,0,66,0.00,0.01,30.21,0.00000,5.09,x<y
1841,especially,43,51,0.04,0.01,30.19,0.00000,1.71,x>y
1891,exciting,16,5,0.01,0.00,30.02,0.00000,3.64,x>y
461,barriers,14,3,0.01,0.00,29.96,0.00000,4.18,x>y
539,biden,14,3,0.01,0.00,29.96,0.00000,4.18,x>y
121,afford,26,19,0.02,0.00,29.93,0.00000,2.41,x>y
3102,listening,20,10,0.02,0.00,29.86,0.00000,2.96,x>y
3748,part,81,142,0.07,0.03,29.84,0.00000,1.15,x>y
1015,come,77,554,0.07,0.12,29.81,0.00000,0.89,x<y
5728,which,77,554,0.07,0.12,29.81,0.00000,0.89,x<y
2900,kaine,30,26,0.03,0.01,29.77,0.00000,2.17,x>y
4780,simple,6,131,0.01,0.03,29.73,0.00000,2.49,x<y
5345,totally,15,198,0.01,0.04,29.72,0.00000,1.76,x<y
1206,county,24,16,0.02,0.00,29.66,0.00000,2.54,x>y
3261,mayor,31,28,0.03,0.01,29.57,0.00000,2.11,x>y
550,bill,21,237,0.02,0.05,29.53,0.00000,1.54,x<y
6762,crowds,0,64,0.00,0.01,29.29,0.00000,5.04,x<y
8653,patrol,0,64,0.00,0.01,29.29,0.00000,5.04,x<y
3555,number,21,236,0.02,0.05,29.24,0.00000,1.53,x<y
3706,own,67,108,0.06,0.02,29.18,0.00000,1.27,x>y
1210,course,39,44,0.03,0.01,29.16,0.00000,1.79,x>y
2778,interests,12,175,0.01,0.04,29.06,0.00000,1.91,x<y
1454,destroyed,1,80,0.00,0.02,29.01,0.00000,4.36,x<y
